"Objective_function","Main_RecrDev_1994","Main_RecrDev_1995","Main_RecrDev_1996","Main_RecrDev_1997","Main_RecrDev_1998","Main_RecrDev_1999","Main_RecrDev_2000","Main_RecrDev_2001","Main_RecrDev_2002","Main_RecrDev_2003","Main_RecrDev_2004","Main_RecrDev_2005","Main_RecrDev_2006","Main_RecrDev_2007","Main_RecrDev_2008","Main_RecrDev_2009","Main_RecrDev_2010","Main_RecrDev_2011","Main_RecrDev_2012"
277.83,-0.207888,-0.147434,-0.224933,0.155974,-0.376407,0.364108,0.426309,0.134645,0.0828941,-0.0093619,-0.327044,-0.172658,0.290402,-0.167758,-0.0937753,-0.460069,0.108727,0.505036,0.119233
270.937,-0.214177,-0.130157,-0.192594,0.169128,-0.40211,0.35958,0.416115,0.148025,0.0745911,-0.0140705,-0.336299,-0.168185,0.290756,-0.166041,-0.10112,-0.455207,0.11777,0.493786,0.110211
268.067,-0.215887,-0.121704,-0.196959,0.176583,-0.406037,0.349869,0.413133,0.162606,0.0884456,-0.034102,-0.340984,-0.158979,0.304957,-0.175932,-0.10592,-0.449359,0.123704,0.504418,0.0821474
263.716,-0.209636,-0.125271,-0.204016,0.180325,-0.418684,0.336814,0.394008,0.173863,0.0908031,-0.0279826,-0.330848,-0.164275,0.288858,-0.16473,-0.106607,-0.442252,0.111345,0.509438,0.108847
257.485,-0.21278,-0.105089,-0.203158,0.171521,-0.407125,0.338558,0.38939,0.176177,0.0616121,-0.0147989,-0.339272,-0.149406,0.294018,-0.166994,-0.117575,-0.410332,0.113371,0.508394,0.0734883
257.598,-0.201844,-0.0908234,-0.188827,0.182149,-0.388975,0.319924,0.406254,0.170869,0.0479956,-0.014528,-0.322219,-0.16446,0.285061,-0.169509,-0.114225,-0.415283,0.0981183,0.515418,0.0449058
257.05,-0.217348,-0.0837255,-0.190361,0.224541,-0.384261,0.336049,0.398529,0.149742,0.0416593,-0.0304683,-0.340356,-0.177341,0.274038,-0.159603,-0.104862,-0.401817,0.10844,0.515853,0.0412904
263.378,-0.233512,-0.0710421,-0.213423,0.231183,-0.372946,0.329647,0.395974,0.158715,0.0404108,-0.0317919,-0.337948,-0.178066,0.260198,-0.142605,-0.0913903,-0.42097,0.109627,0.533609,0.0343321
265.737,-0.258767,-0.0828516,-0.21416,0.222737,-0.366287,0.347466,0.379723,0.161325,0.0275998,-0.0349016,-0.338477,-0.191922,0.268317,-0.124662,-0.0956992,-0.403633,0.114912,0.550015,0.0392648
265.828,-0.261752,-0.093084,-0.209912,0.219974,-0.37986,0.342397,0.378336,0.170569,0.0340341,-0.0296808,-0.344095,-0.186567,0.274601,-0.135032,-0.0993583,-0.406121,0.108215,0.575465,0.0418722
267.903,-0.254758,-0.0988999,-0.19016,0.214891,-0.371137,0.34371,0.383464,0.174644,0.0480389,-0.0268566,-0.343153,-0.213937,0.260608,-0.109539,-0.105784,-0.413137,0.108726,0.564429,0.0288508
269.921,-0.263015,-0.0584025,-0.183526,0.224679,-0.340947,0.319604,0.367608,0.177444,0.0418405,-0.0371413,-0.358373,-0.191853,0.267094,-0.107208,-0.119638,-0.427714,0.109956,0.562599,0.0169925
265.317,-0.274257,-0.0369802,-0.200076,0.222445,-0.33505,0.309613,0.364291,0.176049,0.0427384,-0.0255962,-0.355281,-0.186303,0.260817,-0.0972744,-0.1413,-0.404712,0.112957,0.53925,0.0286709
270.672,-0.261911,-0.048457,-0.218084,0.202387,-0.317812,0.307382,0.36976,0.182166,0.0504454,0.00866646,-0.347994,-0.189172,0.239611,-0.0936189,-0.134667,-0.408969,0.124869,0.51894,0.0164601
273.555,-0.267599,-0.047795,-0.226387,0.1996,-0.320075,0.327376,0.372033,0.195701,0.0463445,0.0139839,-0.355692,-0.188893,0.224889,-0.109836,-0.130331,-0.417981,0.115655,0.531768,0.0372378
274.219,-0.271137,-0.0397238,-0.215141,0.176411,-0.319484,0.3084,0.384052,0.204085,0.0540214,0.0146638,-0.352115,-0.205062,0.232344,-0.107402,-0.142918,-0.430814,0.120889,0.523615,0.0653166
272.99,-0.269506,-0.0283746,-0.225963,0.166747,-0.302179,0.30284,0.391143,0.202341,0.0546259,0.0312235,-0.352202,-0.213089,0.234447,-0.108939,-0.132592,-0.457784,0.115489,0.533656,0.0581177
267.769,-0.27168,-0.018529,-0.229719,0.152516,-0.324782,0.287581,0.39954,0.206914,0.0738341,0.0171012,-0.345688,-0.203318,0.24294,-0.110799,-0.137628,-0.468452,0.123026,0.528984,0.0781579
269.588,-0.270414,0.00820963,-0.255016,0.153797,-0.314557,0.297544,0.400562,0.201579,0.0719536,0.0302284,-0.338799,-0.205284,0.23663,-0.12014,-0.142391,-0.463377,0.125872,0.525515,0.0580869
267.49,-0.253308,0.0338889,-0.251234,0.123919,-0.34495,0.293771,0.389662,0.208769,0.0924253,0.0238378,-0.334196,-0.208133,0.231292,-0.132486,-0.149726,-0.463136,0.126256,0.540362,0.0729844
267.417,-0.270123,0.0449029,-0.25445,0.134205,-0.354984,0.276485,0.367825,0.214863,0.0852987,0.0321688,-0.336749,-0.20061,0.242442,-0.133495,-0.140996,-0.445056,0.139977,0.538135,0.0601619
266.4,-0.27444,0.0504001,-0.256828,0.111398,-0.355536,0.264255,0.361487,0.198819,0.0878351,0.0266693,-0.33724,-0.187894,0.237269,-0.120659,-0.114629,-0.437424,0.142102,0.529814,0.0745993
268.643,-0.246461,0.0149268,-0.244074,0.127495,-0.344786,0.297148,0.351305,0.198286,0.105316,-0.0154677,-0.34044,-0.186279,0.221894,-0.118652,-0.10527,-0.443795,0.145421,0.520185,0.0632484
268.571,-0.245856,0.0200924,-0.236568,0.121385,-0.323219,0.282981,0.355261,0.177001,0.115355,-0.0182673,-0.343336,-0.196953,0.220966,-0.123144,-0.105625,-0.442843,0.138035,0.53786,0.0668756
266.003,-0.2569,0.00496467,-0.231126,0.113909,-0.331679,0.283251,0.344113,0.178228,0.115226,-0.0130334,-0.344048,-0.173834,0.227763,-0.106881,-0.113994,-0.461104,0.151351,0.55732,0.0564731
271.456,-0.241139,0.0274987,-0.230719,0.141564,-0.343369,0.2848,0.336627,0.181071,0.0960122,-7.36627e-05,-0.346655,-0.17144,0.222996,-0.105929,-0.105924,-0.468851,0.150299,0.546329,0.026903
273.619,-0.215848,0.0260099,-0.223453,0.160462,-0.357276,0.286842,0.326672,0.189552,0.0979799,0.0059313,-0.356984,-0.170081,0.210502,-0.11692,-0.101552,-0.476974,0.141621,0.542589,0.0309264
271.84,-0.220557,0.0371845,-0.216143,0.149036,-0.350982,0.2657,0.330282,0.177036,0.0979192,-0.0104885,-0.35975,-0.17697,0.194234,-0.111825,-0.0994087,-0.463592,0.13073,0.561463,0.0661311
275.958,-0.216121,0.0367334,-0.224374,0.150224,-0.315816,0.254395,0.313302,0.163264,0.0952126,-0.0178716,-0.341767,-0.169892,0.190817,-0.121083,-0.099179,-0.473622,0.127312,0.548612,0.0998547
274.753,-0.222426,0.0610351,-0.20286,0.132146,-0.316858,0.264529,0.295336,0.15717,0.114043,-0.012831,-0.364355,-0.179058,0.190293,-0.101973,-0.0924916,-0.470647,0.124274,0.538416,0.086257
273.82,-0.200225,0.0760126,-0.193314,0.112748,-0.294386,0.285162,0.301085,0.14033,0.0886143,-0.011449,-0.379618,-0.171934,0.190076,-0.118141,-0.0946141,-0.476144,0.125949,0.517705,0.102142
272.171,-0.217209,0.0905924,-0.207301,0.125624,-0.27948,0.287705,0.307194,0.137034,0.0838138,-0.0023726,-0.389583,-0.185882,0.198763,-0.117347,-0.0860089,-0.448004,0.107328,0.528782,0.0663512
275.323,-0.218235,0.0773413,-0.22802,0.15079,-0.304712,0.268007,0.295746,0.133119,0.0851063,0.0102076,-0.387734,-0.180769,0.183342,-0.112682,-0.0921662,-0.444025,0.093593,0.555293,0.115798
275.098,-0.198159,0.0907223,-0.233147,0.134065,-0.300758,0.277545,0.286388,0.130239,0.0835765,0.00952584,-0.385996,-0.194149,0.184068,-0.0977209,-0.0726872,-0.447623,0.0735821,0.55643,0.104101
272.591,-0.185719,0.0755577,-0.218879,0.133174,-0.290559,0.276762,0.283436,0.112711,0.0768178,0.00479316,-0.362547,-0.173838,0.184233,-0.115822,-0.0578564,-0.453605,0.0859849,0.540279,0.0850763
