"SR_LN(R0)","SR_BH_steep","Main_RecrDev_2008"
10.3774,0.564086,-0.192934
10.3897,0.556074,-0.202615
10.375,0.56474,-0.205082
10.3612,0.568372,-0.219273
10.3522,0.571449,-0.219497
10.3585,0.56887,-0.225245
10.3737,0.562572,-0.24054
10.3649,0.566304,-0.249725
10.3922,0.557998,-0.243848
10.41,0.555023,-0.23723
10.4081,0.55659,-0.231382
10.4125,0.556469,-0.20564
10.4136,0.554773,-0.200395
10.3907,0.560501,-0.193491
10.386,0.562233,-0.180906
10.4052,0.55634,-0.183886
10.4169,0.555591,-0.18875
10.3946,0.563714,-0.210827
10.3921,0.559282,-0.203153
10.3929,0.564804,-0.207114
10.3873,0.566454,-0.213223
10.3992,0.559019,-0.205412
10.3962,0.562293,-0.189012
10.3743,0.570995,-0.192053
10.3825,0.573076,-0.200918
10.3889,0.572441,-0.201236
10.4032,0.565902,-0.196364
10.3801,0.575689,-0.179735
10.3793,0.572193,-0.167666
10.3901,0.568783,-0.153004
10.3915,0.572865,-0.152586
10.3883,0.576635,-0.148196
10.3768,0.584146,-0.144065
10.3758,0.584528,-0.156522
10.3721,0.58234,-0.149477
10.3744,0.583512,-0.143793
10.3614,0.582403,-0.142298
10.372,0.586837,-0.164537
10.3723,0.584916,-0.156025
10.3618,0.593703,-0.160159
10.3497,0.598826,-0.164027
10.3592,0.593139,-0.178393
10.3756,0.582884,-0.183263
10.3702,0.59011,-0.195128
10.3718,0.592476,-0.1984
10.3608,0.597781,-0.196565
10.3787,0.589633,-0.177046
10.377,0.592624,-0.184113
10.3615,0.594462,-0.167594
10.3829,0.587959,-0.160353
10.384,0.588312,-0.146977
10.3689,0.587064,-0.119626
10.3608,0.587482,-0.105442
10.373,0.587858,-0.0824787
10.3814,0.591363,-0.103401
10.3778,0.593787,-0.114003
10.3917,0.585612,-0.113047
10.3934,0.584932,-0.134727
10.387,0.584886,-0.111983
10.3855,0.585555,-0.12563
10.3801,0.584201,-0.123195
10.4031,0.578425,-0.155665
10.3962,0.580993,-0.194383
10.3854,0.582274,-0.187266
10.3757,0.588553,-0.187387
10.3962,0.587449,-0.196166
10.3767,0.593361,-0.189644
10.3733,0.594654,-0.213143
10.3624,0.599977,-0.226285
10.3674,0.60252,-0.212813
10.3759,0.600962,-0.221597
10.3911,0.595851,-0.215519
10.3967,0.594417,-0.213567
10.39,0.596093,-0.202446
10.3856,0.598408,-0.219523
10.4067,0.593969,-0.200154
10.3987,0.596605,-0.210547
10.3883,0.595658,-0.219069
10.3914,0.591094,-0.221794
10.3856,0.594329,-0.218664
10.3631,0.596069,-0.220867
10.3623,0.594277,-0.216413
10.3622,0.596147,-0.206989
10.3672,0.592777,-0.189758
10.368,0.592247,-0.187874
10.3578,0.594904,-0.192979
10.3766,0.590554,-0.212461
10.3815,0.594879,-0.195574
10.3763,0.59961,-0.200686
10.3736,0.599193,-0.212268
10.3596,0.600216,-0.2065
10.3601,0.600308,-0.193129
10.3644,0.598545,-0.185101
10.3648,0.597724,-0.169359
10.3477,0.606251,-0.151774
10.3538,0.602698,-0.13599
10.3567,0.59829,-0.135647
10.3739,0.599602,-0.144815
10.3689,0.599245,-0.14366
10.358,0.60513,-0.141618
10.3639,0.602195,-0.138326
10.3781,0.596158,-0.132129
10.375,0.596593,-0.140259
10.3691,0.596641,-0.125655
10.3812,0.596914,-0.13536
10.3842,0.59613,-0.119034
10.3819,0.595324,-0.116084
10.373,0.598084,-0.116647
10.3734,0.598382,-0.122723
10.3627,0.603629,-0.133806
10.3757,0.60134,-0.141989
10.3761,0.600044,-0.134997
10.3803,0.59935,-0.138309
10.3728,0.601641,-0.133689
10.3752,0.605402,-0.135814
10.3645,0.607982,-0.135277
10.3588,0.611948,-0.132935
10.3612,0.612155,-0.134049
10.3557,0.61182,-0.134351
10.3539,0.611389,-0.130419
10.3479,0.613483,-0.136822
10.3615,0.609683,-0.133588
10.3711,0.608856,-0.117871
10.3771,0.604441,-0.106818
10.3754,0.605202,-0.102401
10.3787,0.605091,-0.110224
10.3833,0.604541,-0.0895137
10.3795,0.607333,-0.0901374
10.3778,0.608557,-0.0788673
10.3789,0.60841,-0.0891137
10.3813,0.607276,-0.090247
10.3656,0.614694,-0.0881771
10.3635,0.612336,-0.0858732
10.3576,0.616927,-0.0884294
10.3509,0.617492,-0.101853
