"V1","fit","lwr","upr"
2018,1253.69273934926,376.834516569069,2130.55096212944
2019,1253.69273934926,376.834516569069,2130.55096212944
2020,1253.69273934926,376.834516569069,2130.55096212944
2021,1253.69273934926,376.834516569069,2130.55096212944
2022,1253.69273934926,376.834516569069,2130.55096212944
2023,1253.69273934926,376.834516569069,2130.55096212944
2024,1253.69273934926,376.834516569069,2130.55096212944
2025,1253.69273934926,376.834516569069,2130.55096212944
2026,1246.7104963087,371.810528014757,2121.61046460265
2027,1246.7104963087,371.810528014757,2121.61046460265
2028,1248.14001755277,372.842475035141,2123.43756007039
2029,1248.14001755277,372.842475035141,2123.43756007039
2030,1248.14001755277,372.842475035141,2123.43756007039
2031,1248.14001755277,372.842475035141,2123.43756007039
2032,1201.20647185443,338.045215407137,2064.36772830173
2033,1201.20647185443,338.045215407137,2064.36772830173
2034,1194.54465078746,332.950394078872,2056.13890749604
2035,1194.54465078746,332.950394078872,2056.13890749604
2036,1194.54465078746,332.950394078872,2056.13890749604
2037,1194.54465078746,332.950394078872,2056.13890749604
2038,1194.54465078746,332.950394078872,2056.13890749604
2039,1195.78438610017,333.901491702663,2057.66728049767
2040,1195.78438610017,333.901491702663,2057.66728049767
2041,1151.03757715323,298.700022180984,2003.37513212547
2042,1144.68922286942,293.558682230772,1995.81976350807
2043,1144.68922286942,293.558682230772,1995.81976350807
2044,1144.68922286942,293.558682230772,1995.81976350807
2045,1144.68922286942,293.558682230772,1995.81976350807
2046,1144.68922286942,293.558682230772,1995.81976350807
2047,1144.68922286942,293.558682230772,1995.81976350807
2048,1144.68922286942,293.558682230772,1995.81976350807
2049,1144.68922286942,293.558682230772,1995.81976350807
2050,1089.45325768936,247.244365670648,1931.66214970807
2051,1089.45325768936,247.244365670648,1931.66214970807
2052,1089.45325768936,247.244365670648,1931.66214970807
2053,1089.45325768936,247.244365670648,1931.66214970807
2054,1089.45325768936,247.244365670648,1931.66214970807
2055,1032.248999282,196.227836837149,1868.27016172686
2056,1032.40834308513,196.374327678573,1868.44235849168
2057,1032.40834308513,196.374327678573,1868.44235849168
2058,1032.40834308513,196.374327678573,1868.44235849168
2059,1032.40834308513,196.374327678573,1868.44235849168
2060,980.511745530802,147.355223777522,1813.66826728408
2061,980.511745530802,147.355223777522,1813.66826728408
2062,980.511745530802,147.355223777522,1813.66826728408
2063,980.511745530802,147.355223777522,1813.66826728408
2064,982.085059698395,148.880019665063,1815.29009973173
2065,931.561288174025,98.7003566377277,1764.42221971032
2066,931.561288174025,98.7003566377277,1764.42221971032
2067,931.561288174025,98.7003566377277,1764.42221971032
2068,931.561288174025,98.7003566377277,1764.42221971032
