"","vs","gt","rs"
"1",0.0720625956020455,0.0606539781253868,0.867283426272568
"2",0.0720625956020455,0.0606539781253868,0.867283426272568
"3",0.0720625956020455,0.0606539781253868,0.867283426272568
"4",0.0720625956020455,0.0606539781253868,0.867283426272568
"5",0.0720625956020455,0.0606539781253868,0.867283426272568
"6",0.0720625956020455,0.0606539781253868,0.867283426272568
"7",0.0720625956020455,0.0606539781253868,0.867283426272568
"8",0.0720625956020455,0.0606539781253868,0.867283426272568
"9",0.0716214982339059,0.0664037440692811,0.861974757696813
"10",0.0716214982339059,0.0664037440692811,0.861974757696813
"11",0.0716214982339059,0.0664037440692811,0.861974757696813
"12",0.0716214982339059,0.0664037440692811,0.861974757696813
"13",0.0716214982339059,0.0664037440692811,0.861974757696813
"14",0.0716214982339059,0.0664037440692811,0.861974757696813
"15",0.0716214982339059,0.0664037440692811,0.861974757696813
"16",0.188276033941336,0.17455978833882,0.637164177719844
"17",0.188276033941336,0.17455978833882,0.637164177719844
"18",0.188276033941336,0.17455978833882,0.637164177719844
"19",0.188276033941336,0.17455978833882,0.637164177719844
"20",0.179085593481429,0.166038887893669,0.654875518624901
"21",0.179085593481429,0.166038887893669,0.654875518624901
"22",0.179085593481429,0.166038887893669,0.654875518624901
"23",0.179085593481429,0.166038887893669,0.654875518624901
"24",0.170112949143531,0.157719916733745,0.672167134122724
"25",0.170112949143531,0.157719916733745,0.672167134122724
"26",0.170112949143531,0.157719916733745,0.672167134122724
"27",0.170112949143531,0.157719916733745,0.672167134122724
"28",0.161376367622728,0.149619810792744,0.689003821584527
"29",0.161376367622728,0.149619810792744,0.689003821584527
"30",0.161376367622728,0.149619810792744,0.689003821584527
"31",0.161376367622728,0.149619810792744,0.689003821584527
"32",0.152891791981857,0.14175335165288,0.705354856365263
"33",0.152891791981857,0.14175335165288,0.705354856365263
"34",0.152891791981857,0.14175335165288,0.705354856365263
"35",0.152891791981857,0.14175335165288,0.705354856365263
"36",0.152891791981857,0.14175335165288,0.705354856365263
"37",0.144672794357185,0.134133122696033,0.721194082946782
"38",0.144672794357185,0.134133122696033,0.721194082946782
"39",0.144672794357185,0.134133122696033,0.721194082946782
"40",0.144672794357185,0.134133122696033,0.721194082946782
"41",0.144672794357185,0.134133122696033,0.721194082946782
"42",0.136730570825951,0.126769504345204,0.736499924828846
"43",0.136730570825951,0.126769504345204,0.736499924828846
"44",0.136730570825951,0.126769504345204,0.736499924828846
"45",0.136730570825951,0.126769504345204,0.736499924828846
"46",0.136730570825951,0.126769504345204,0.736499924828846
"47",0.136730570825951,0.126769504345204,0.736499924828846
"48",0.136730570825951,0.126769504345204,0.736499924828846
"49",0.136730570825951,0.126769504345204,0.736499924828846
"50",0.136730570825951,0.126769504345204,0.736499924828846
"51",0.136730570825951,0.126769504345204,0.736499924828846
